"block","offset","address","size","name","r/w","description"
"vdp2",18,"0000","2","TVMD","RW","Device ID"
"vdp2",18,"0002",2,"EXTEN","RW",
"vdp2",18,"0004",2,"TVSTAT","R",
"vdp2",18,"0006",2,"VRSIZE","RW",
"vdp2",18,"0008",2,"HCNT","R",
"vdp2",18,"000a",2,"VCNT","R",
"vdp2",18,"000e",2,"RAMCTL","RW",
"vdp2",18,"0010",4,"CYCA0","RW",
"vdp2",18,"0014",4,"CYCA1","RW",
"vdp2",18,"0018",4,"CYCB0","RW",
"vdp2",18,"001c",4,"CYCB1","RW",
"vdp2",18,"0020",2,"BGON","RW",
"vdp2",18,"0022",2,"MZCTL","RW",
"vdp2",18,"0024",2,"SFSEL","RW",
"vdp2",18,"0026",2,"SFCODE","RW",
"vdp2",18,"0028",2,"CHCTLA","RW",
"vdp2",18,"002a",2,"CHCTLB","RW",
"vdp2",18,"002c",2,"BMPNA","RW",
"vdp2",18,"002e",2,"BMPNB","RW",
"vdp2",18,"0030",2,"PNCN0","RW",
"vdp2",18,"0032",2,"PNCN1","RW",
"vdp2",18,"0034",2,"PNCN2","RW",
"vdp2",18,"0036",2,"PNCN3","RW",
"vdp2",18,"0038",2,"PNCR","RW",
"vdp2",18,"003a",2,"PLSZ","RW",
"vdp2",18,"003c",2,"MPOFN","RW",
"vdp2",18,"003e",2,"MPOFR","RW",
"vdp2",18,"0040",2,"MPABN0","RW",
"vdp2",18,"0042",2,"MPCDN0","RW",
"vdp2",18,"0044",2,"MPABN1","RW",
"vdp2",18,"0046",2,"MPCDN1","RW",
"vdp2",18,"0048",2,"MPABN2","RW",
"vdp2",18,"004a",2,"MPCDN2","RW",
"vdp2",18,"004c",2,"MPABN3","RW",
"vdp2",18,"004e",2,"MPCDN3","RW",
"vdp2",18,"0050",2,"MPABRA","RW",
"vdp2",18,"0052",2,"MPCDRA","RW",
"vdp2",18,"0054",2,"MPEFRA","RW",
"vdp2",18,"0056",2,"MPGHRA","RW",
"vdp2",18,"0058",2,"MPIJRA","RW",
"vdp2",18,"005a",2,"MPKLRA","RW",
"vdp2",18,"005c",2,"MPMNRA","RW",
"vdp2",18,"005e",2,"MPOPRA","RW",
"vdp2",18,"0060",2,"MPABRB","RW",
"vdp2",18,"0062",2,"MPCDRB","RW",
"vdp2",18,"0064",2,"MPEFRB","RW",
"vdp2",18,"0066",2,"MPGHRB","RW",
"vdp2",18,"0068",2,"MPIJRB","RW",
"vdp2",18,"006a",2,"MPKLRB","RW",
"vdp2",18,"006c",2,"MPMNRB","RW",
"vdp2",18,"006e",2,"MPOPRB","RW",
"vdp2",18,"0070",2,"SCXIN0","RW",
"vdp2",18,"0072",2,"SCXDN0","RW",
"vdp2",18,"0074",2,"SCYIN0","RW",
"vdp2",18,"0076",2,"SCYDN0","RW",
"vdp2",18,"0078",2,"ZMXIN0","RW",
"vdp2",18,"007a",2,"ZMXDN0","RW",
"vdp2",18,"007c",2,"ZMYIN0","RW",
"vdp2",18,"007e",2,"ZMYDN0","RW",
"vdp2",18,"0080",2,"SCXIN1","RW",
"vdp2",18,"0082",2,"SCXDN1","RW",
"vdp2",18,"0084",2,"SCYIN1","RW",
"vdp2",18,"0086",2,"SCYDN1","RW",
"vdp2",18,"0088",2,"ZMXIN1","RW",
"vdp2",18,"008a",2,"ZMXDN1","RW",
"vdp2",18,"008c",2,"ZMYIN1","RW",
"vdp2",18,"008e",2,"ZMYDN1","RW",
"vdp2",18,"0090",2,"SCXN2","RW",
"vdp2",18,"0092",2,"SCYN2","RW",
"vdp2",18,"0094",2,"SCXN3","RW",
"vdp2",18,"0096",2,"SCYN3","RW",
"vdp2",18,"0098",2,"ZMCTL","RW",
"vdp2",18,"009a",2,"SCRCTL","RW",
"vdp2",18,"009c",2,"VCSTAU","RW",
"vdp2",18,"009e",2,"VCSTAL","RW",
"vdp2",18,"00a0",4,"LSTA0","RW",
"vdp2",18,"00a4",4,"LSTA1","RW",
"vdp2",18,"00a8",4,"LCTA","RW",
"vdp2",18,"00ac",4,"BKTA","RW",
"vdp2",18,"00b0",2,"RPMD","RW",
"vdp2",18,"00b2",2,"RPRCTL","RW",
"vdp2",18,"00b4",2,"KTCTL","RW",
"vdp2",18,"00b6",2,"KTAOF","RW",
"vdp2",18,"00b8",2,"OVPNRA","RW",
"vdp2",18,"00ba",2,"OVPNRB","RW",
"vdp2",18,"00bc",4,"RPTA","RW",
"vdp2",18,"00c0",2,"WPSX0","RW",
"vdp2",18,"00c2",2,"WPSY0","RW",
"vdp2",18,"00c4",2,"WPEX0","RW",
"vdp2",18,"00c6",2,"WPEY0","RW",
"vdp2",18,"00c8",2,"WPSX1","RW",
"vdp2",18,"00ca",2,"WPSY1","RW",
"vdp2",18,"00cc",2,"WPEX1","RW",
"vdp2",18,"00ce",2,"WPEY1","RW",
"vdp2",18,"00d0",2,"WCTLA","RW",
"vdp2",18,"00d2",2,"WCTLB","RW",
"vdp2",18,"00d4",2,"WCTLC","RW",
"vdp2",18,"00d6",2,"WCTLD","RW",
"vdp2",18,"00d8",4,"LWTA0","RW",
"vdp2",18,"00dc",4,"LWTA1","RW",
"vdp2",18,"00e0",2,"SPCTL","RW",
"vdp2",18,"00e2",2,"SDCTL","RW",
"vdp2",18,"00e4",2,"CRAOFA","RW",
"vdp2",18,"00e6",2,"CRAOFB","RW",
"vdp2",18,"00e8",2,"LNCLEN","RW",
"vdp2",18,"00ea",2,"SFPRMD","RW",
"vdp2",18,"00ec",2,"CCCTL","RW",
"vdp2",18,"00ee",2,"SFCCMD","RW",
"vdp2",18,"00f0",2,"PRISA","RW",
"vdp2",18,"00f2",2,"PRISB","RW",
"vdp2",18,"00f4",2,"PRISC","RW",
"vdp2",18,"00f6",2,"PRISD","RW",
"vdp2",18,"00f8",2,"PRINA","RW",
"vdp2",18,"00fa",2,"PRINB","RW",
"vdp2",18,"00fc",2,"PRIR","RW",
"vdp2",18,"0100",2,"CCRSA","RW",
"vdp2",18,"0102",2,"CCRSB","RW",
"vdp2",18,"0104",2,"CCRSC","RW",
"vdp2",18,"0106",2,"CCRSD","RW",
"vdp2",18,"0108",2,"CCRNA","RW",
"vdp2",18,"010a",2,"CCRNB","RW",
"vdp2",18,"010c",2,"CCRR","RW",
"vdp2",18,"010e",2,"CCRLB","RW",
"vdp2",18,"0110",2,"CLOFEN","RW",
"vdp2",18,"0112",2,"CLOFSL","RW",
"vdp2",18,"0114",2,"COAR","RW",
"vdp2",18,"0116",2,"COAG","RW",
"vdp2",18,"0118",2,"COAB","RW",
"vdp2",18,"011a",2,"COBR","RW",
"vdp2",18,"011c",2,"COBG","RW",
"vdp2",18,"011e",2,"COBB","RW",
